"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"18-00041079","2018 Apr 23 03:15:14 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4654 BROMLEY AVE","38.85555357","-76.92701968","(38.85555357, -76.92701968)","Suitland / Coral Hills"
"18-00041045","2018 Apr 23 02:31:36 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13103 RHAME DR","38.70991831","-77.01038038","(38.70991831, -77.01038038)","County Address"
"18-00041029","2018 Apr 23 02:09:00 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LEBANON ST & KEOKEE ST",,,,"County Address"
"18-00040987","2018 Apr 23 01:25:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3012 ELLICOTT RD","39.05282096","-76.9447797","(39.05282096, -76.9447797)","County Address"
"18-00040899","2018 Apr 23 12:07:24 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LIVINGSTON RD & SB INDIAN HEAD HY ONRP INDIAN HEAD HY",,,,"County Address"
"18-00040719","2018 Apr 23 09:58:12 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3001 BRANCH AVE","38.85329676","-76.95932868","(38.85329676, -76.95932868)","Hillcrest Heights / Marlow Heights"
"18-00040711","2018 Apr 23 09:52:15 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4125 SOUTHERN AVE","38.86614165","-76.94309409","(38.86614165, -76.94309409)","Suitland / Coral Hills"
"18-00040650","2018 Apr 23 09:11:23 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OAKLAWN RD & GIBBONS DR",,,,"County Address"
"18-00040647","2018 Apr 23 09:09:48 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3740 LUMAR DR","38.77920998","-76.94188291","(38.77920998, -76.94188291)","County Address"
"18-00040645","2018 Apr 23 09:08:34 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8400 GIBBONS DR","38.77455766","-76.94174057","(38.77455766, -76.94174057)","County Address"
"18-00040613","2018 Apr 23 08:39:38 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6612 STOCKTON LN","38.95041324","-76.90627795","(38.95041324, -76.90627795)","County Address"
"18-00040548","2018 Apr 22 05:49:57 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","11105 MARLBORO PIKE",,,,"County Address"
"18-00040545","2018 Apr 22 04:46:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PENNSYLVANIA AVE & DOWER HOUSE RD",,,,"County Address"
"18-00040534","2018 Apr 22 01:35:56 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12623 PRESTWICK DR","38.71598154","-77.00720486","(38.71598154, -77.00720486)","County Address"
"18-00040521","2018 Apr 21 11:48:31 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LAUREL BOWIE RD & POWDER MILL RD",,,,"County Address"
"18-00040502","2018 Apr 20 08:56:14 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4507 YUCCA ST","39.03354423","-76.91509423","(39.03354423, -76.91509423)","County Address"
"18-00040420","2018 Apr 20 03:33:02 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","KAREN BLVD & WALKER MILL RD",,,,"County Address"
"18-00040418","2018 Apr 20 03:28:29 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","418 NOVA AVE","38.88375305","-76.91466664","(38.88375305, -76.91466664)","County Address"
"18-00040320","2018 Apr 20 01:16:50 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHERYL DR & BROOKLEE DR",,,,"County Address"
"18-00040231","2018 Apr 20 11:08:23 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","OPUS AVE & MARLBORO PIKE",,,,"County Address"
"18-00039913","2018 Apr 19 03:29:40 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4504 DANVILLE RD","38.68757529","-76.92868993","(38.68757529, -76.92868993)","County Address"
"18-00039907","2018 Apr 19 03:21:36 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13400 DILLE DR","38.82398182","-76.77465","(38.82398182, -76.77465)","County Address"
"18-00039900","2018 Apr 19 03:17:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13400 DILLE DR","38.82398182","-76.77465","(38.82398182, -76.77465)","County Address"
"18-00039683","2018 Apr 19 10:15:30 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","4720 RALEIGH RD","38.82423121","-76.95011146","(38.82423121, -76.95011146)","Hillcrest Heights / Marlow Heights"
"18-00039557","2018 Apr 19 07:14:29 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3300 SWANN RD",,,,"County Address"
"18-00039550","2018 Apr 18 08:48:14 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5101 ODELL RD","39.04182889","-76.9019907","(39.04182889, -76.9019907)","County Address"
"18-00039549","2018 Apr 18 08:45:14 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & ODELL RD",,,,"County Address"
"18-00039548","2018 Apr 18 08:43:25 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & SYCAMORE RD",,,,"County Address"
"18-00039539","2018 Apr 18 06:52:03 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ATWELL AVE & DEEPWOOD DR",,,,"County Address"
"18-00039487","2018 Apr 18 03:43:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair",,,,,"County Address"
"18-00039409","2018 Apr 18 02:13:35 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LUMAR DR & ALLENTOWN RD",,,,"County Address"
"18-00039408","2018 Apr 18 02:10:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OAKLAWN RD & JOLLY LN",,,,"County Address"
"18-00039378","2018 Apr 18 01:24:32 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair",,,,,"County Address"
"18-00039320","2018 Apr 18 12:06:08 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","VERNON WAY & OAKLAND WAY",,,,"County Address"
"18-00039317","2018 Apr 18 12:05:04 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SILVER VALLEY WAY & HENDERSON WAY",,,,"County Address"
"18-00039315","2018 Apr 18 12:03:25 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5500 HILL WAY",,,,"County Address"
"18-00039288","2018 Apr 18 11:22:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","AUTH WAY & TELFAIR BLVD",,,,"County Address"
"18-00039203","2018 Apr 18 09:52:44 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRANDYWINE RD & PARKVIEW LN",,,,"County Address"
"18-00039145","2018 Apr 18 08:41:19 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHERRY HILL RD & BALTIMORE AVE",,,,"County Address"
"18-00039019","2018 Apr 17 04:04:56 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CONTEE RD & CLAXTON DR",,,,"County Address"
"18-00038955","2018 Apr 17 03:08:20 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3712 LUMAR DR","38.78111307","-76.94324056","(38.78111307, -76.94324056)","County Address"
"18-00038795","2018 Apr 17 11:57:33 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7004 PURPLE AVENS AVE","38.79414002","-76.82516078","(38.79414002, -76.82516078)","County Address"
"18-00038767","2018 Apr 17 11:24:50 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7609 25TH AVE","38.98252429","-76.96661125","(38.98252429, -76.96661125)","County Address"
"18-00038709","2018 Apr 17 10:24:56 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","NEIGHBOR LN & OTIS ST",,,,"County Address"
"18-00038694","2018 Apr 17 10:14:36 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5702 ROLLINS LN","38.86659424","-76.9088484","(38.86659424, -76.9088484)","County Address"
"18-00038672","2018 Apr 17 09:57:20 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALTERS LN & PENNSYLVANIA AVE",,,,"County Address"
"18-00038494","2018 Apr 16 05:40:15 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD FORT RD & WASHINGTON DR",,,,"County Address"
"18-00038401","2018 Apr 16 03:22:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FISHER RD & MYRTLE AVE",,,,"County Address"
"18-00038394","2018 Apr 16 03:19:20 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TREETOP LN & GREEN HAVEN RD",,,,"County Address"
"18-00038336","2018 Apr 16 02:18:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6418 MORTON PL","38.80143365","-76.93774258","(38.80143365, -76.93774258)","County Address"
"18-00038235","2018 Apr 16 12:21:47 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PROXMIRE DR & E SWAN CREEK RD",,,,"County Address"
"18-00038162","2018 Apr 16 11:19:31 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LAKEHURST AVE & MAYGREEN AVE",,,,"County Address"
"18-00038141","2018 Apr 16 11:09:22 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5976 FISHER RD","38.80723908","-76.95613768","(38.80723908, -76.95613768)","County Address"
"18-00038061","2018 Apr 16 09:59:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PEED RD & CROOM RD",,,,"County Address"
"18-00037975","2018 Apr 16 08:38:25 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11300 DAISY LN","38.97694959","-76.81037141","(38.97694959, -76.81037141)","County Address"
"18-00037889","2018 Apr 15 10:53:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOLVERTON LN & OLD BRANCH AVE",,,,"County Address"
"18-00037700","2018 Apr 13 03:17:40 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHESTNUT AVE & 3RD ST",,,,"County Address"
"18-00037583","2018 Apr 13 12:26:40 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PACER DR & E NALLEY RD",,,,"County Address"
"18-00037511","2018 Apr 13 11:05:44 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GREENVALE PKY & ANNAPOLIS RD",,,,"County Address"
"18-00037488","2018 Apr 13 10:42:27 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","UPLAND AVE & INSEY ST",,,,"County Address"
"18-00037485","2018 Apr 13 10:41:15 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","JOLLY LN & OAKLAWN RD",,,,"County Address"
"18-00037393","2018 Apr 13 09:03:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6112 ANNAPOLIS RD",,,,"County Address"
"18-00037381","2018 Apr 13 08:51:04 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9306 BIEMANS TER","38.93826132","-76.84460969","(38.93826132, -76.84460969)","County Address"
"18-00037330","2018 Apr 13 07:47:18 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5114 DECATUR ST","38.94894395","-76.93158298","(38.94894395, -76.93158298)","County Address"
"18-00037323","2018 Apr 13 07:20:17 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13000 MOLLY BERRY RD","38.71268344","-76.76776554","(38.71268344, -76.76776554)","County Address"
"18-00037320","2018 Apr 13 07:19:01 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11900 VAN BRADY RD",,,,"County Address"
"18-00037282","2018 Apr 12 05:11:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RESEARCH RD & BEAVER DAM RD",,,,"County Address"
"18-00037191","2018 Apr 12 03:24:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OPUS AVE & MARLBORO PIKE",,,,"County Address"
"18-00037170","2018 Apr 12 02:55:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8823 CORTLAND LN","38.95372615","-76.86028109","(38.95372615, -76.86028109)","County Address"
"18-00037158","2018 Apr 12 02:31:38 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13816 WATER FOWL WAY","38.86572851","-76.77238558","(38.86572851, -76.77238558)","County Address"
"18-00037093","2018 Apr 12 12:58:35 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5902 PLATA ST","38.77657861","-76.9046078","(38.77657861, -76.9046078)","County Address"
"18-00037079","2018 Apr 12 12:45:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8600 BRANCH AVE",,,,"County Address"
"18-00037077","2018 Apr 12 12:43:11 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7000 BRANCH AVE",,,,"County Address"
"18-00037056","2018 Apr 12 12:21:58 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","AGER RD & ROANOKE ST",,,,"County Address"
"18-00037052","2018 Apr 12 12:16:03 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2028 ROANOKE ST","38.96693303","-76.97542643","(38.96693303, -76.97542643)","County Address"
"18-00037047","2018 Apr 12 12:10:58 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3701 CLAIRTON DR","38.94107132","-76.80435007","(38.94107132, -76.80435007)","County Address"
"18-00037035","2018 Apr 12 11:56:05 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6600 BELCREST RD",,,,"County Address"
"18-00037021","2018 Apr 12 11:39:04 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MATTAWOMAN LN & GARDNER RD",,,,"County Address"
"18-00036964","2018 Apr 12 10:44:35 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","ADDISON RD S & WILBURN DR",,,,"County Address"
"18-00036920","2018 Apr 12 09:42:34 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","FOREST PARK DR & TULIP AVE",,,,"County Address"
"18-00036905","2018 Apr 12 09:30:29 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6578 BOCK TER","38.79997319","-76.98297118","(38.79997319, -76.98297118)","County Address"
"18-00036879","2018 Apr 12 08:51:00 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","407 CLAIRBORNE ST","38.88614241","-76.77450768","(38.88614241, -76.77450768)","County Address"
"18-00036778","2018 Apr 11 04:23:48 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5301 SHERIFF RD","38.90390885","-76.92309384","(38.90390885, -76.92309384)","County Address"
"18-00036710","2018 Apr 11 02:57:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","JOMAR DR & CLEAR CREEK DR",,,,"County Address"
"18-00036700","2018 Apr 11 02:45:33 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4527 NATAHALA DR","38.76402571","-76.92975409","(38.76402571, -76.92975409)","County Address"
"18-00036697","2018 Apr 11 02:42:06 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10800 INDIAN HEAD RD",,,,"County Address"
"18-00036696","2018 Apr 11 02:40:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12300 WALLACE LN","38.75646268","-76.79446046","(38.75646268, -76.79446046)","County Address"
"18-00036694","2018 Apr 11 02:39:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11300 CHELTENHAM RD",,,,"County Address"
"18-00036693","2018 Apr 11 02:37:37 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13100 DULEY STATION RD",,,,"County Address"
"18-00036689","2018 Apr 11 02:35:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","15300 CROOM AIRPORT RD","38.76042447","-76.74043492","(38.76042447, -76.74043492)","County Address"
"18-00036578","2018 Apr 11 12:33:54 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9814 TRAVER ST","38.92021233","-76.83578731","(38.92021233, -76.83578731)","County Address"
"18-00036430","2018 Apr 11 10:01:04 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16430 GARDNER RD","38.66399764","-76.91879975","(38.66399764, -76.91879975)","County Address"
"18-00036397","2018 Apr 11 09:19:30 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MONMOUTH DR & BASKERVILLE PL",,,,"County Address"
"18-00036395","2018 Apr 11 09:16:47 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALLACE LN & DULEY STATION RD",,,,"County Address"
"18-00036324","2018 Apr 10 09:15:17 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13 PEPPER MILL DR","38.89412153","-76.88613758","(38.89412153, -76.88613758)","County Address"
"18-00036204","2018 Apr 10 02:54:49 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9747 LANHAM SEVERN RD",,,,"County Address"
"18-00036181","2018 Apr 10 02:36:53 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BELVIDERE RD & CLAIRTON DR",,,,"County Address"
"18-00036110","2018 Apr 10 12:49:18 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5505 SILVER HILL RD",,,,"County Address"
"18-00036029","2018 Apr 10 11:27:22 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2709 PINECREEK PL","38.85144996","-76.87419404","(38.85144996, -76.87419404)","Forestville"
"18-00035958","2018 Apr 10 10:24:49 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","VERNON WAY & OAKLAND WAY",,,,"County Address"
"18-00035917","2018 Apr 10 09:51:30 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LAKEHURST AVE & MARLBORO PIKE",,,,"County Address"
"18-00035864","2018 Apr 10 08:57:15 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2809 MATAPEAKE DR","38.84993956","-76.82788205","(38.84993956, -76.82788205)","County Address"
"18-00035859","2018 Apr 10 08:55:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6602 23RD PL","38.96985436","-76.97216267","(38.96985436, -76.97216267)","County Address"
"18-00035782","2018 Apr 09 06:06:57 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PENNSYLVANIA AVE & SHADYSIDE AVE",,,,"County Address"
"18-00035776","2018 Apr 09 05:32:22 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9325 ALLENTOWN RD","38.7615162","-76.96103506","(38.7615162, -76.96103506)","County Address"
"18-00035697","2018 Apr 09 03:40:17 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","STEED RD & ALLENTOWN RD",,,,"County Address"
"18-00035663","2018 Apr 09 03:11:04 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BIEMANS TER & LA DOVA WAY",,,,"County Address"
"18-00035599","2018 Apr 09 01:53:46 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6235 OXON HILL RD",,,,"County Address"
"18-00035565","2018 Apr 09 01:15:33 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1700 JASMINE TER","38.98694229","-76.97831343","(38.98694229, -76.97831343)","Langley Park"
"18-00035554","2018 Apr 09 12:54:29 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10001 ARDWICK ARDMORE RD","38.93210204","-76.83661998","(38.93210204, -76.83661998)","County Address"
"18-00035523","2018 Apr 09 12:21:07 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LANHAM LN & WEBSTER LN",,,,"County Address"
"18-00035488","2018 Apr 09 11:42:26 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2517 BUCK LODGE TER","39.01376298","-76.96247693","(39.01376298, -76.96247693)","County Address"
"18-00035485","2018 Apr 09 11:40:14 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5205 VIENNA DR","38.76796745","-76.91655791","(38.76796745, -76.91655791)","County Address"
"18-00035394","2018 Apr 09 10:23:03 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SOUTHERN AVE & MARYLAND PARK DR",,,,"County Address"
"18-00035381","2018 Apr 09 10:13:29 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD MARLBORO PIKE & DOWER HOUSE RD",,,,"County Address"
"18-00035373","2018 Apr 09 10:10:20 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD MARLBORO PIKE & MARLBORO PIKE",,,,"County Address"
"18-00035355","2018 Apr 09 09:44:01 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair",,,,,"County Address"
"18-00035271","2018 Apr 09 07:53:23 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4000 28TH AVE","38.83571803","-76.94775741","(38.83571803, -76.94775741)","Hillcrest Heights / Marlow Heights"
"18-00035262","2018 Apr 09 12:34:28 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5601 57TH AVE","38.95598289","-76.91688954","(38.95598289, -76.91688954)","Bladensburg / East Riverdale"
"18-00035259","2018 Apr 08 09:52:27 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7103 CLINTON ST",,,,"County Address"
"18-00035241","2018 Apr 08 06:27:06 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2709 PINECREEK PL","38.85144996","-76.87419404","(38.85144996, -76.87419404)","Forestville"
"18-00035208","2018 Apr 07 12:51:21 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CHERRY HILL RD & JAYROSE BLVD",,,,"County Address"
"18-00035196","2018 Apr 06 11:50:05 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CENTRAL AVE & NB CRAIN HWY ONRP EB CENTRAL AVE",,,,"County Address"
"18-00035167","2018 Apr 06 05:10:12 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","POWDER MILL RD & EVANS TRL",,,,"County Address"
"18-00035064","2018 Apr 06 02:38:24 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5522 ALTOONA ST","38.88589369","-76.91074109","(38.88589369, -76.91074109)","County Address"
"18-00035043","2018 Apr 06 02:09:00 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ROBLEE DR & WOODFORD LN",,,,"County Address"
"18-00034996","2018 Apr 06 01:32:34 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9904 CHURCHILL DR","38.77397298","-76.83319213","(38.77397298, -76.83319213)","County Address"
"18-00034924","2018 Apr 06 11:46:40 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","10807 PATUXENT AVE","38.98463507","-76.81715626","(38.98463507, -76.81715626)","County Address"
"18-00034881","2018 Apr 06 11:06:46 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6400 CENTRAL AVE","38.88721935","-76.89773706","(38.88721935, -76.89773706)","County Address"
"18-00034878","2018 Apr 06 11:05:40 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LANHAM LN & WEBSTER LN",,,,"County Address"
"18-00034877","2018 Apr 06 11:05:13 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7300 LANHAM LN",,,,"County Address"
"18-00034852","2018 Apr 06 10:27:18 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","9613 WOODBERRY ST","38.97998463","-76.8437793","(38.97998463, -76.8437793)","County Address"
"18-00034848","2018 Apr 06 10:20:52 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","16402 BADEN NAYLOR RD","38.66431435","-76.76936086","(38.66431435, -76.76936086)","County Address"
"18-00034824","2018 Apr 06 09:58:04 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","104 CASTLETON DR","38.89052797","-76.81779043","(38.89052797, -76.81779043)","County Address"
"18-00034807","2018 Apr 06 09:35:28 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TIVERTON PL & PICKERING CIR",,,,"County Address"
"18-00034800","2018 Apr 06 09:26:55 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","TIPPETT RD & PISCATAWAY RD",,,,"County Address"
"18-00034755","2018 Apr 06 08:28:38 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5703 GWYNNDALE PL","38.76101123","-76.90909899","(38.76101123, -76.90909899)","County Address"
"18-00034726","2018 Apr 06 08:00:47 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","POWDER MILL RD & EVANS TRL",,,,"County Address"
"18-00034709","2018 Apr 06 07:16:09 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PROSPECT HILL RD & PROSPECT HILL CT",,,,"County Address"
"18-00034708","2018 Apr 06 07:15:59 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","PROSPECT HILL RD & PROSPECT HILL CT",,,,"County Address"
